date,Ahvaz,Arak,Ardabil,Bandar `Abbas,Bandar-e Bushehr,Birjand,Bojnurd,Esfahan
16-04-1908 00:00,19.89999962,73.70000458,68.5,12.90000057,3.200000048,34.79999924,36.79999924,30.39999962
16-05-1908 00:00,5.599999905,25.5,89.70000458,5.200000286,2.200000048,10.80000019,58.20000076,7.5
16-06-1908 00:00,0,0.800000012,14.80000019,0.200000003,0,1.600000024,35.10000229,0
16-07-1908 00:00,0,0.200000003,7.5,0.900000036,0,0.600000024,1.800000072,0
16-08-1908 00:00,0,0.200000003,4.700000286,2.600000143,0,0.699999988,0.100000001,0
16-09-1908 00:00,0.100000001,0.100000001,100.2000046,0.699999988,0,0,13.40000057,0
16-10-1908 00:00,3.400000095,7,75.40000153,1.5,0,2.400000095,13.40000057,0
16-11-1908 00:00,20.30000114,14.19999981,81.30000305,5.5,12,7.900000095,1.700000048,1.5
16-12-1908 00:00,51.60000229,50.70000076,48.40000153,25.20000076,21.80000114,19.30000114,12.69999981,25.30000114
16-01-1909 00:00,88.90000153,74.20000458,40,38.90000153,85.59999847,30.60000038,19.89999962,43.5
15-02-1909 00:00,42.20000076,58.70000076,24.60000038,45.60000229,6.900000095,31.60000038,10.10000038,29.10000038
16-03-1909 00:00,29.20000076,68.59999847,31,35.20000076,8.800000191,36.10000229,35.10000229,26.5
16-04-1909 00:00,33.5,62.40000153,61.90000153,12.90000057,25.39999962,33.90000153,68,28.39999962
16-05-1909 00:00,3.5,17.60000038,52,5.200000286,0,9.800000191,42.40000153,5.099999905
16-06-1909 00:00,0,4.900000095,35.20000076,0.200000003,0,1.200000048,1.600000024,1.5
16-07-1909 00:00,0,0.200000003,3.400000095,0.900000036,0,0.600000024,27.10000038,0
16-08-1909 00:00,0,0.200000003,47.60000229,2.600000143,0,0.699999988,0.100000001,0
16-09-1909 00:00,0.100000001,0.100000001,61.60000229,0.699999988,0,0,0.100000001,0
16-10-1909 00:00,3.600000143,18.30000114,98.40000153,1.5,0.800000012,2.5,4.599999905,1.899999976
16-11-1909 00:00,17.60000038,10.10000038,27.30000114,5.5,39.5,7.800000191,0.300000012,0.699999988
16-12-1909 00:00,69.70000458,18.89999962,37.60000229,25.20000076,212.1999969,19.5,6.599999905,5.800000191
16-01-1910 00:00,73,65.90000153,66.70000458,38.90000153,91.90000153,31.80000114,25.10000038,30.60000038
15-02-1910 00:00,29,52.90000153,50,45.60000229,10.80000019,33.29999924,22.30000114,12.19999981
16-03-1910 00:00,60.70000076,85.30000305,30.30000114,35.20000076,53.29999924,40.70000076,96.90000153,56.40000153
16-04-1910 00:00,12.80000019,35.79999924,64.90000153,12.90000057,0.300000012,33.10000229,21.39999962,7.400000095
16-05-1910 00:00,3.200000048,20.89999962,56.60000229,5.200000286,0.800000012,10.69999981,30.20000076,4.099999905
16-06-1910 00:00,0,0.5,19.20000076,0.200000003,0,1.300000072,17.60000038,0
16-07-1910 00:00,0,3.400000095,13.40000057,0.900000036,0,0.600000024,1.700000048,4
16-08-1910 00:00,0,0.200000003,16.39999962,2.600000143,0,0.699999988,3.200000048,0
16-09-1910 00:00,0.100000001,0.100000001,61.40000153,0.699999988,0,0,11.10000038,0
16-10-1910 00:00,3.400000095,3.600000143,49.90000153,1.5,0,2.299999952,0.400000006,0
16-11-1910 00:00,18.39999962,9.699999809,47.5,5.5,5.300000191,7.800000191,2.100000143,0.600000024
16-12-1910 00:00,53.79999924,56.5,14.60000038,25.20000076,61.79999924,19.70000076,10.60000038,22.89999962
16-01-1911 00:00,69.59999847,58.90000153,28.39999962,38.90000153,84.09999847,31.60000038,36.90000153,21.5
15-02-1911 00:00,23.60000038,17.30000114,21.89999962,45.60000229,5.900000095,32.40000153,18.80000114,1.399999976
16-03-1911 00:00,47.60000229,69.80000305,94.40000153,35.20000076,95,37.70000076,74.40000153,17.70000076
16-04-1911 00:00,17.20000076,78.59999847,78.90000153,12.90000057,2.100000143,33.60000229,40,25.5
16-05-1911 00:00,3.100000143,30.70000076,102.2000046,5.200000286,0,11.60000038,56,4.700000286
16-06-1911 00:00,0,0.5,42.40000153,0.200000003,0,1.200000048,0.200000003,0
16-07-1911 00:00,0,0.200000003,10.5,0.900000036,0,0.600000024,10.90000057,0
16-08-1911 00:00,0,1.200000048,18.30000114,2.600000143,0,0.699999988,10.60000038,0.100000001
16-09-1911 00:00,0.100000001,0.100000001,44.20000076,0.699999988,0,0,2.900000095,0
16-10-1911 00:00,3.400000095,5.900000095,80.40000153,1.5,0,2.400000095,10.10000038,0.300000012
16-11-1911 00:00,43.79999924,33.20000076,65.20000458,5.5,99,8.800000191,11.10000038,13.19999981
16-12-1911 00:00,65.5,67.30000305,89.59999847,25.20000076,55.90000153,18.89999962,11.5,39.79999924
16-01-1912 00:00,81.40000153,61.20000076,27.20000076,38.90000153,78.59999847,30.60000038,14.10000038,35
15-02-1912 00:00,28.39999962,25.60000038,45.5,45.60000229,15.40000057,31.70000076,26,7.599999905
16-03-1912 00:00,21.30000114,35.10000229,28.60000038,35.20000076,7,36.60000229,40.90000153,9.300000191
16-04-1912 00:00,15.80000019,33,44.40000153,12.90000057,13,34.79999924,70,7.900000095
16-05-1912 00:00,2.900000095,15.5,84.70000458,5.200000286,0,10.40000057,32.90000153,1.300000072
16-06-1912 00:00,0,12.30000019,11.90000057,0.200000003,0,1.5,26.89999962,4.900000095
16-07-1912 00:00,0,0.5,6.300000191,0.900000036,0,0.600000024,3.200000048,0.100000001
16-08-1912 00:00,0,0.200000003,47.10000229,2.600000143,0,0.699999988,8.100000381,0
16-09-1912 00:00,0.100000001,0.100000001,12.40000057,0.699999988,0,0,0.100000001,0
16-10-1912 00:00,3.400000095,6.5,81.20000458,1.5,0,2.400000095,1.300000072,0.400000006
16-11-1912 00:00,16.89999962,7.200000286,32.29999924,5.5,0,8.900000572,25.20000076,0.200000003
16-12-1912 00:00,37.90000153,39.79999924,49.10000229,25.20000076,151.5,19.20000076,15.69999981,8.100000381
16-01-1913 00:00,59.79999924,43.29999924,92.80000305,38.90000153,66.70000458,30.20000076,36.60000229,14.19999981
15-02-1913 00:00,30.89999962,33.40000153,36.60000229,45.60000229,66.80000305,33.90000153,52.20000076,4.800000191
16-03-1913 00:00,23.10000038,32.60000229,36.79999924,35.20000076,1.899999976,35.90000153,36.90000153,13.40000057
16-04-1913 00:00,14.60000038,37.29999924,29,12.90000057,0.699999988,33.90000153,52.40000153,10
16-05-1913 00:00,4.200000286,33.10000229,38,5.200000286,1.200000048,10,11.60000038,6.300000191
16-06-1913 00:00,0,0.5,13.10000038,0.200000003,0,1.200000048,0.200000003,0
16-07-1913 00:00,0,0.200000003,5.599999905,0.900000036,0,0.600000024,0.100000001,0
16-08-1913 00:00,0,0.200000003,2.799999952,2.600000143,0,0.699999988,0.100000001,0
16-09-1913 00:00,0.200000003,0.100000001,63.29999924,0.699999988,0,0,5.900000095,0
16-10-1913 00:00,3.400000095,23.30000114,96.5,1.5,0,3.100000143,37,2.5
16-11-1913 00:00,33.70000076,31.20000076,98.20000458,5.5,34.10000229,8.600000381,11.69999981,11.40000057
16-12-1913 00:00,80.59999847,65.40000153,28.60000038,25.20000076,114.5,19.39999962,10.30000019,44.29999924
16-01-1914 00:00,46.90000153,62.40000153,71.40000153,38.90000153,29.10000038,29.5,30.20000076,14.30000019
15-02-1914 00:00,59.70000076,69.40000153,13.90000057,45.60000229,58.70000076,32.90000153,8.900000572,39.29999924
16-03-1914 00:00,22,43.60000229,45,35.20000076,15.30000019,36.79999924,30.60000038,7.5
16-04-1914 00:00,32.90000153,106.4000015,71.09999847,12.90000057,21.10000038,35.29999924,81.59999847,55
16-05-1914 00:00,2.900000095,13.60000038,65.20000458,5.200000286,0,10.10000038,30.39999962,0
16-06-1914 00:00,0,9.600000381,41.79999924,0.200000003,0,1.200000048,7.900000095,5.400000095
16-07-1914 00:00,0,0.200000003,7.400000095,0.900000036,0,0.600000024,0.100000001,0
16-08-1914 00:00,0,0.200000003,68.70000458,2.600000143,0,0.699999988,0.800000012,0
16-09-1914 00:00,0.100000001,0.100000001,43.90000153,0.699999988,0,0,0.100000001,0
16-10-1914 00:00,5.700000286,25.39999962,125.8000031,1.5,0.200000003,2.5,16.60000038,7.300000191
16-11-1914 00:00,47,51.79999924,127.5999985,5.5,86.09999847,9.900000572,41.40000153,23.5
16-12-1914 00:00,37.60000229,45.70000076,55.79999924,25.20000076,30.30000114,19.10000038,11.69999981,9.199999809
16-01-1915 00:00,45.60000229,29.70000076,18.60000038,38.90000153,11.10000038,29.20000076,3.200000048,9.199999809
15-02-1915 00:00,28.30000114,26.20000076,27.80000114,45.60000229,18.60000038,31.89999962,11.90000057,5.400000095
16-03-1915 00:00,68.70000458,120.2000046,52.90000153,35.20000076,99.20000458,38.10000229,63,65.40000153
16-04-1915 00:00,28.89999962,97.09999847,85.80000305,12.90000057,31.60000038,38.70000076,166.3000031,26.89999962
16-05-1915 00:00,5.200000286,37.40000153,50.20000076,5.200000286,0.100000001,9.699999809,33.70000076,16.80000114
16-06-1915 00:00,0,1.5,68.80000305,0.200000003,0,1.399999976,58.10000229,0.100000001
16-07-1915 00:00,0,1.100000024,41.70000076,0.900000036,0,0.699999988,37.5,0.699999988
16-08-1915 00:00,0,0.200000003,41.70000076,2.600000143,0,0.699999988,0.100000001,0.100000001
16-09-1915 00:00,0.100000001,0.100000001,32,0.699999988,0,0,0.100000001,0
16-10-1915 00:00,3.799999952,3.600000143,46.79999924,1.5,0,2.299999952,2,2.799999952
16-11-1915 00:00,16.89999962,11.40000057,12.30000019,5.5,0,7.800000191,1.5,0.900000036
16-12-1915 00:00,37.29999924,16,19.80000114,25.20000076,5.099999905,18.80000114,17.39999962,15.80000019
16-01-1916 00:00,72.59999847,73.20000458,41.10000229,38.90000153,95.70000458,33.10000229,26.80000114,23.30000114
15-02-1916 00:00,34.79999924,56.60000229,29.80000114,45.60000229,25.30000114,32.60000229,17,17.5
16-03-1916 00:00,29.60000038,52.90000153,24.39999962,35.20000076,20.30000114,39.10000229,66.30000305,20.20000076
16-04-1916 00:00,17.70000076,87.90000153,53,12.90000057,8.699999809,35.10000229,69.30000305,23.89999962
16-05-1916 00:00,3.799999952,77.30000305,57.29999924,5.200000286,0,10.30000019,21.70000076,15.60000038
16-06-1916 00:00,0,0.5,25.89999962,0.200000003,0,1.399999976,22.5,0
16-07-1916 00:00,0,0.5,59.70000076,0.900000036,0,0.699999988,18,0
16-08-1916 00:00,0,0.5,8.699999809,2.600000143,0,0.699999988,0.100000001,0
16-09-1916 00:00,0.100000001,0.200000003,100.5,0.699999988,0,0,1.200000048,0
16-10-1916 00:00,3.799999952,17,42.20000076,1.5,0,2.400000095,2.200000048,4
16-11-1916 00:00,18.30000114,16.39999962,44.20000076,5.5,0.100000001,7.900000095,7.400000095,2.400000095
16-12-1916 00:00,39.29999924,21.5,40.20000076,25.20000076,41.40000153,18.30000114,3.900000095,1.200000048
16-01-1917 00:00,60.10000229,36.60000229,16.30000114,38.90000153,109.7000046,30.10000038,16.20000076,8
15-02-1917 00:00,40.20000076,39.79999924,28.20000076,45.60000229,34.79999924,32.5,24.5,17.39999962
16-03-1917 00:00,17.60000038,14.80000019,31.80000114,35.20000076,1,35.70000076,26.60000038,0.699999988
16-04-1917 00:00,11.90000057,11.40000057,10.19999981,12.90000057,0,31.70000076,17.20000076,0
16-05-1917 00:00,3.200000048,32.40000153,27.10000038,5.200000286,0,9.699999809,14.30000019,5.5
16-06-1917 00:00,0,0.5,14.60000038,0.200000003,0,1.200000048,3.900000095,0
16-07-1917 00:00,0,0.200000003,6.700000286,0.900000036,0,0.600000024,2.200000048,0
16-08-1917 00:00,0,0.5,64.09999847,2.600000143,0,0.900000036,6.5,0.200000003
16-09-1917 00:00,0.100000001,0.100000001,17.20000076,0.699999988,0,0,1.200000048,0
16-10-1917 00:00,3.400000095,3.600000143,70.20000458,1.5,0,2.400000095,10.69999981,0
16-11-1917 00:00,16.89999962,7.900000095,20.10000038,5.5,0,8,9.5,0.300000012
16-12-1917 00:00,64,47,27.20000076,25.20000076,64.40000153,18.89999962,13.19999981,31.39999962
16-01-1918 00:00,44.29999924,14.60000038,20.80000114,38.90000153,33.70000076,31.60000038,35.90000153,1.600000024
15-02-1918 00:00,40,73.80000305,49.90000153,45.60000229,27.5,32.79999924,29.70000076,25.39999962
16-03-1918 00:00,34.79999924,75.59999847,61.60000229,35.20000076,39.40000153,39.29999924,85.5,25
16-04-1918 00:00,29.10000038,87.09999847,62.79999924,12.90000057,10.30000019,33.29999924,51.70000076,49.60000229
16-05-1918 00:00,4.400000095,19.30000114,68,5.200000286,1.700000048,9.699999809,13.60000038,5.200000286
16-06-1918 00:00,0,2.400000095,43.20000076,0.200000003,0,1.200000048,11,0.300000012
16-07-1918 00:00,0,0.200000003,21,0.900000036,0,0.600000024,7.5,0
16-08-1918 00:00,0,0.200000003,100,2.600000143,0,0.800000012,3.799999952,0
16-09-1918 00:00,0.100000001,0.100000001,51.90000153,0.699999988,0,0,4.200000286,0
16-10-1918 00:00,4.599999905,14.10000038,84.59999847,1.5,0.100000001,2.5,11,3.400000095
16-11-1918 00:00,18.80000114,11.40000057,64.5,5.5,10.30000019,8.5,16.20000076,0.900000036
16-12-1918 00:00,59.70000076,39.10000229,47.5,25.20000076,73,19.80000114,23.39999962,23.60000038
16-01-1919 00:00,52.20000076,68.09999847,51,38.90000153,61.70000076,31.5,28,15
15-02-1919 00:00,39,42.5,43.70000076,45.60000229,43.79999924,33.5,30.39999962,14.40000057
16-03-1919 00:00,17.30000114,13.40000057,58.20000076,35.20000076,0,37.29999924,49.90000153,0.400000006
16-04-1919 00:00,25.39999962,51.79999924,63.40000153,12.90000057,25.70000076,34.29999924,57.90000153,14.90000057
16-05-1919 00:00,5.900000095,21.20000076,66.90000153,5.200000286,5,10.5,45.70000076,3.5
16-06-1919 00:00,0,0.5,37,0.200000003,0,1.300000072,10.80000019,0
16-07-1919 00:00,0,0.200000003,21.39999962,0.900000036,0,0.600000024,7.5,0
16-08-1919 00:00,0,0.200000003,34,2.600000143,0,0.800000012,3.799999952,0.100000001
16-09-1919 00:00,0.200000003,1.700000048,63.20000076,0.699999988,0,0,4.200000286,0
